rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq c3 0 0:c7c6,f8e7
rnbqkb1r/pp3ppp/2p1pn2/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R b KQkq - 0 0:d1c2,e2e3,g2g3
rnbqkb1r/pp3ppp/2p1pn2/3p4/2P5/1P3N2/PBQPPPPP/RN2KB1R w KQkq - 0 0:b7b6,f8d6
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq - 0 0:a7a5,f8e7,d5c4
rnbqkb1r/1pp2ppp/4pn2/p2p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R b KQkq a6 0 0:a2a3
rnbqkb1r/1pp2ppp/4pn2/p2p4/2P5/PP3N2/1B1PPPPP/RN1QKB1R w KQkq - 0 0:f8e7
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq a6 0 0:f8e7
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R b KQkq - 0 0:e2e3,g2g3
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/1P2PN2/PB1P1PPP/RN1QKB1R w KQkq - 0 0:e8g8,b7b6,c7c5
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/1P3NP1/PB1PPP1P/RN1QKB1R w KQkq - 0 0:e8g8
rnbqkb1r/ppp2ppp/4pn2/3p4/8/1P3N2/PBPPPPPP/RN1QKB1R b KQkq c3 0 0:d2d3,e2e3
rnbqkb1r/ppp2ppp/4pn2/3p4/8/1P1P1N2/PBP1PPPP/RN1QKB1R w KQkq - 0 0:f8e7
rnbqk2r/ppp1bppp/4pn2/3p4/8/1P1P1N2/PBP1PPPP/RN1QKB1R b KQkq - 0 0:b1d2,g2g3
rnbqk2r/ppp1bppp/4pn2/3p4/8/1P1P1N2/PBPNPPPP/R2QKB1R w KQkq - 0 0:e8g8
rnbqkb1r/pppp1ppp/4pn2/8/8/1P3N2/PBPPPPPP/RN1QKB1R w KQkq d6 0 0:a7a5
rnbqkb1r/1ppp1ppp/4pn2/p7/8/1P3N2/PBPPPPPP/RN1QKB1R b KQkq a6 0 0:a2a3
rnbqkb1r/1ppp1ppp/4pn2/p7/8/PP3N2/1BPPPPPP/RN1QKB1R w KQkq - 0 0:c7c5
rnbqkb1r/1p1p1ppp/4pn2/p1p5/8/PP3N2/1BPPPPPP/RN1QKB1R b KQkq c6 0 0:a3a4
rnbqkb1r/1p1p1ppp/4pn2/p1p5/P7/1P3N2/1BPPPPPP/RN1QKB1R w KQkq - 0 0:d7d5
rnbqkb1r/1ppp1ppp/4pn2/p7/8/PP3N2/1BPPPPPP/RN1QKB1R w KQkq c6 0 0:a5a4,d7d5
rnbqkb1r/1ppp1ppp/4pn2/8/p7/PP3N2/1BPPPPPP/RN1QKB1R b KQkq - 0 0:b3b4
rnbqkb1r/1ppp1ppp/4pn2/8/pP6/P4N2/1BPPPPPP/RN1QKB1R w KQkq - 0 0:c7c5
rnbqkb1r/1pp2ppp/4pn2/p2p4/8/PP3N2/1BPPPPPP/RN1QKB1R b KQkq d6 0 0:e2e3
rnbqkb1r/1pp2ppp/4pn2/p2p4/8/PP2PN2/1BPP1PPP/RN1QKB1R w KQkq - 0 0:f8e7
rnbqkb1r/pppp1ppp/4pn2/8/8/1P3N2/PBPPPPPP/RN1QKB1R w KQkq a6 0 0:b7b5
rnbqkb1r/p1pp1ppp/4pn2/1p6/8/1P3N2/PBPPPPPP/RN1QKB1R b KQkq b6 0 0:e2e3
rnbqkb1r/p1pp1ppp/4pn2/1p6/8/1P2PN2/PBPP1PPP/RN1QKB1R w KQkq - 0 0:b5b4
rnbqkb1r/p1pp1ppp/4pn2/8/1p6/1P2PN2/PBPP1PPP/RN1QKB1R b KQkq - 0 0:d2d4
rnbqkb1r/p1pp1ppp/4pn2/8/1p1P4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq d3 0 0:c8b7
rnbqkb1r/p1pp1ppp/4pn2/1p6/8/1P2PN2/PBPP1PPP/RN1QKB1R w KQkq d3 0 0:a7a6
rnbqkb1r/2pp1ppp/p3pn2/1p6/8/1P2PN2/PBPP1PPP/RN1QKB1R b KQkq - 0 0:g2g3
rnbqkb1r/2pp1ppp/p3pn2/1p6/8/1P2PNP1/PBPP1P1P/RN1QKB1R w KQkq - 0 0:c8b7
rnbqkb1r/pppp1ppp/4pn2/8/8/1P3N2/PBPPPPPP/RN1QKB1R w KQkq b6 0 0:f8e7
rnbqk2r/ppppbppp/4pn2/8/8/1P3N2/PBPPPPPP/RN1QKB1R b KQkq - 0 0:g2g3,c2c4
rnbqk2r/ppppbppp/4pn2/8/8/1P3NP1/PBPPPP1P/RN1QKB1R w KQkq - 0 0:e8g8
rnbq2kr/ppppbppp/4pn2/8/8/1P3NP1/PBPPPP1P/RN1QKB1R b KQ - 0 0:f1g2,c2c4
rnbq2kr/ppppbppp/4pn2/8/8/1P3NP1/PBPPPPBP/RN1QK2R w KQ - 0 0:d7d5
rnbq2kr/ppppbppp/4pn2/8/8/1P3NP1/PBPPPPBP/RN1QK2R w KQ d6 0 0:d7d6
rnbq2kr/ppppbppp/4pn2/8/2P5/1P3NP1/PB1PPP1P/RN1QKB1R w KQ c3 0 0:d7d5
rnbqk2r/ppppbppp/4pn2/8/8/1P3NP1/PBPPPP1P/RN1QKB1R w KQkq c3 0 0:d7d5
rnbqk2r/ppp1bppp/4pn2/3p4/8/1P3NP1/PBPPPP1P/RN1QKB1R b KQkq d6 0 0:f1g2
rnbqk2r/ppppbppp/4pn2/8/8/1P3NP1/PBPPPP1P/RN1QKB1R w KQkq d6 0 0:b7b6
rnbqk2r/p1ppbppp/1p2pn2/8/8/1P3NP1/PBPPPP1P/RN1QKB1R b KQkq - 0 0:f1g2
rnbqk2r/p1ppbppp/1p2pn2/8/8/1P3NP1/PBPPPPBP/RN1QK2R w KQkq - 0 0:c8b7
rnbqk2r/ppppbppp/4pn2/8/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq c3 0 0:d7d5
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R b KQkq d6 0 0:b1c3
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/1PN2N2/PB1PPPPP/R2QKB1R w KQkq - 0 0:e8g8
rnbqk2r/ppppbppp/4pn2/8/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq d6 0 0:e8g8
rnbq2kr/ppppbppp/4pn2/8/2P5/1P3N2/PB1PPPPP/RN1QKB1R b KQ - 0 0:g2g4
rnbq2kr/ppppbppp/4pn2/8/2P3P1/1P3N2/PB1PPP1P/RN1QKB1R w KQ g3 0 0:d7d5
rnbqk2r/ppppbppp/4pn2/8/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq g3 0 0:c7c5
